package,kind,V1_typosquatting,V2_install_execution,V3_obfuscation,V4_command_execution,V5_insecure_deserialization,V6_encoding,V7_network_exfiltration
librandgetvisa,archive,0,0,0,1,0,0,0
mineram,archive,0,0,0,1,0,0,0
pytabtrust,dir,0,1,0,0,0,1,1
libpepcpuad,archive,0,0,0,1,0,0,0
horde-python-client,archive,1,0,0,0,0,0,1
tppinghackedpaypal,dir,0,0,0,1,0,0,0
libintelinfo,archive,0,0,0,1,0,0,0
useragentclient,archive,0,0,0,1,0,0,0
yt-api-dlp,archive,0,0,0,1,0,1,1
esqmaskintlib,dir,0,0,0,1,0,0,0
postcontrol,archive,0,0,0,1,0,0,0
utilitytools,archive,0,1,0,1,0,1,1
selfosinturlget,archive,0,0,0,1,0,0,0
adafruit-imageload,archive,0,1,0,0,0,0,1
protonvpn-nm-lib,archive,1,1,0,0,0,1,1
uus,dir,1,1,0,0,0,0,1
yvper,archive,1,0,0,0,0,0,0
utilhttp,dir,0,0,0,0,0,0,1
freqttrade,archive,0,0,0,0,0,0,0
ccpep,archive,0,0,0,1,0,0,0
esqhttppaypalurl,dir,0,0,0,1,0,0,0
toolpyw,archive,0,0,0,1,0,0,0
mmatplotlib,archive,1,0,0,0,0,0,0
oauth2gen,archive,0,0,0,1,0,0,1
atlassian-exp,dir,0,1,0,0,0,0,1
oauthapimojang,archive,0,0,0,1,0,1,1
program-admin,archive,0,0,0,1,0,0,1
pyutilsplus,archive,0,0,0,1,0,1,1
esqpongkillmine,archive,0,0,0,1,0,0,0
pipmc,archive,1,0,0,1,0,0,0
ultracc,archive,0,0,0,1,0,0,0
libstrproofurl,archive,0,0,0,1,0,0,0
pyyalm,archive,1,0,0,0,0,0,0
fakerv2,archive,1,0,0,1,0,1,1
jsonreq-ase,archive,0,0,0,0,0,0,1
py-stringrandkill,archive,1,0,0,1,0,0,0
282828282828282828,dir,0,0,0,1,0,0,0
openpyxxl,archive,1,0,0,0,0,0,0
pyinstaler,archive,1,1,0,1,0,0,1
selfultrapingpush,archive,0,0,0,1,0,0,0
esqrandompullmine,dir,0,0,0,1,0,0,0
mineintel,archive,0,0,0,1,0,0,0
libstrpullpost,archive,0,0,0,1,0,0,0
libcpugamecc,archive,0,0,0,1,0,0,0
tpprooftool,archive,0,0,0,1,0,0,0
ktcalendar,archive,1,0,0,0,0,0,0
easyinstall,archive,0,0,0,1,0,0,1
masksuper,archive,0,0,0,1,0,0,0
lightfm-ext,archive,0,0,0,1,0,1,1
getsuper,archive,0,0,0,1,0,0,0
artifact-lab,archive,0,1,0,0,0,0,1
etheum,archive,1,1,0,1,0,0,1
tpvisasplitram,archive,0,0,0,1,0,0,0
nerfstudio-gs,archive,0,1,0,0,0,1,1
postget,archive,1,0,0,1,0,0,0
pygmae,archive,1,0,0,0,0,0,0
tppaypalmine,archive,0,0,0,1,0,0,0
pipmodule83,archive,0,0,0,1,0,0,1
web3-validators,archive,0,0,0,0,0,0,1
manda-cv-secureit,dir,0,1,0,0,0,0,1
tppaypalcandypost,archive,0,0,0,1,0,0,0
selfminemasked,archive,0,0,0,1,0,0,0
haproxy-config-client,archive,1,1,0,0,0,0,1
clcik,archive,1,0,0,0,0,0,0
stealthpy,archive,0,0,0,0,0,0,1
chimera-sandbox-extensions,archive,0,0,0,1,0,0,1
captcha-solve-api,archive,1,1,0,1,0,1,1
esqpostloadping,archive,0,0,0,1,0,0,0
multithreadedexecution,archive,0,0,0,1,0,0,1
pytorchh,archive,1,0,0,0,0,0,0
tpliburlver,archive,0,0,0,1,0,0,0
new-sql,archive,0,0,0,1,0,1,1
esqsupergrandstr,archive,0,0,0,1,0,0,0
artifact-lab,dir,0,1,0,0,0,0,1
selfmaskhydravm,archive,0,0,0,1,0,0,0
builderknower2,archive,0,1,0,1,0,0,1
freqqtrade,archive,0,0,0,0,0,0,0
alisdkcore,archive,0,0,0,1,0,1,0
esqrepyvirtual,archive,0,0,0,1,0,0,0
openswa,archive,0,1,0,1,0,0,1
esqcvpost,archive,0,0,0,1,0,0,0
fucknukeer,archive,0,0,0,1,0,0,1
noblesse,archive,0,0,0,1,0,0,1
esqguimc,archive,0,0,0,1,0,0,0
esqmaskvirtualcpu,archive,0,0,0,1,0,0,0
cheezokdi10,archive,0,1,0,0,0,0,1
reproof,archive,0,0,0,1,0,0,0
oxeru2,dir,0,1,0,0,0,0,1
requests-toolblet,archive,1,0,0,0,0,0,0
esqvirtualedhacked,archive,0,0,0,1,0,0,0
tpedpyw,archive,0,0,0,1,0,0,0
esqrekillintel,archive,0,0,0,1,0,0,0
selfcontrolurlencode,archive,0,0,0,1,0,0,0
customtkinted,archive,1,1,0,1,0,0,1
pyowler,archive,1,1,0,1,0,0,0
libpostvmgrand,archive,0,0,0,1,0,0,0
discord-addon,archive,0,0,0,1,0,0,1
tposintpywcraft,archive,0,0,0,1,0,0,0
pyg-utils,archive,1,0,0,0,0,0,1
py-toolkill,archive,1,0,0,1,0,0,0
figflix,archive,0,0,0,1,0,1,0
getgui,archive,0,0,0,1,0,0,0
ilovemadpussy9,archive,0,0,0,1,0,0,1
